Id,Competitor,Rating,Logo,Difference,Jobbuzzname,Website,Work Life Balance ,Salary,Company Culture,Career Growth,Industry,Founded,Founders,Turnover,Headquarters,Employees,Compititors,Description
354,Ramco Systems,3,http://jobbuzz.timesjobs.com/ndata_images/logos/001461.png,N,Ramco Systems Ltd,http://www.ramco.com/,3.2,2.9,3,3," Technology (IT, Telecom, Dot Com Etc)",1999, Virender Aggarwal, 100 - 500," Chennai, Tamil Nadu", 1001 - 5000,-,"Ramco Systems Limited (BSE: 532370, NSE: RAMCOSYS, MSE–RSST) is a software products and services provider incorporated in India. Ramco Systems is a provider of Enterprise Resource Planning, Human Capital Management and Aviation Maintenance & Engineering (M&E) & Maintenance Repair & Overhaul (MRO) Software.  It is attempting to position the technology company in the global market to challenge established giants like SAP and Oracle with its cloud product, likely at the low end of the market. Customers include Dabur,Kerzner, Norske Skog,Mother Dairy, Vopak, Khimji Ramdas, Dynamic Aviation, Redtag, MHW,Malaysia Airlines, Emirates, GoAir, Air Tahiti, Caribbean Airlines, Hevilift, and others. P.R Venkatarama Raju, established Ramco Systems in 1992. Ramco Systems is in the enterprise software product market space.    Ramco's major products are Ramco ERP on Cloud, HCM on Cloud and Aviation software."
355,Rallis India Ltd,4,http://jobbuzz.timesjobs.com/ndata_images/logos/001457.jpg,Y,Rallis India Ltd,http://www.rallis.co.in/,4.2,3.9,3.9,3.9," Agriculture, Dairy, Agro Based Industries, Fishing, Forestry",-, Mr. V Shankar, 1000 - 2500, Mumbai, 501 - 1000," Bayer CropScience Limited- India , Tata Chemicals Ltd , Madras Fertilizers Ltd , United Phosphorus Ltd (UPL) , Indofil Industries Ltd",0
356,Ranbaxy,3.7,http://jobbuzz.timesjobs.com/ndata_images/logos/000586.png,N,Ranbaxy Laboratories Ltd,http://www.ranbaxy.com/,3.5,3.8,3.6,3.8, Healthcare,1961, Arun Sawhney, 1000 - 2500," Gurgaon, Haryana", 10001+," Dr. Reddys Laboratories Ltd , Cadila Healthcare Ltd. , Cipla Ltd","Ranbaxy Laboratories Limited (BSE: 500359) is an Indian multinational pharmaceutical company that was incorporated in India in 1961. The company went public in 1973 and Japanese pharmaceutical company Daiichi Sankyo acquired a controlling share in 2008.  In 2014, Sun Pharma acquired the entire 63.4% share of Ranbaxy making the conglomerate world’s fifth largest specialty generic pharma company.  Ranbaxy exports its products to 125 countries with ground operations in 43 and manufacturing facilities in eight countries.  In 2011, Ranbaxy Global Consumer Health Care received the OTC Company of the year award. In the Brand Trust Report 2012,Ranbaxy was ranked 161st among India's most trusted brands and subsequently, according to the Brand Trust Report 2013, Ranbaxy was ranked 225th among India's most trusted brands. In 2014 however, Ranbaxy was ranked 184th among India's most trusted brands according to the Brand Trust Report 2014, a study conducted by Trust Research Advisory, a brand analytics company. "
357,Reliance Communications,3,http://jobbuzz.timesjobs.com/ndata_images/logos/000736.png,N,Reliance Communications Pvt Ltd,http://www.rcom.co.in/,3.1,2.9,3,3," Technology (IT, Telecom, Dot Com Etc)",2002, Vinod Sawhny, 1000 - 2500, Mumbai, 10001+," Idea Cellular Ltd , Bharti Airtel Ltd , Tata Communications Ltd","Reliance Communications Ltd. (RCOM) is an Indian Internet access and telecommunications company headquartered in Navi Mumbai, India. It provides CDMA (CDMA2000, 1xRTT, EV-DO), GSM (Voice, 2G, 3G) mobile services, fixed line broadband and voice services, DTH depending upon the areas of operation. Reliance Communications is the fourth largest telecom operator in India with 109.90 million subscribers as of June 2015.  Established in 2002, it is a subsidiary of Reliance Anil Dhirubhai Ambani Group. Reliance Communication IT Support is provided by Reliance Tech Services and Telecom network is maintained and operated by Ericsson, transmission towers are maintained by its subsidiary Reliance Infratel.In November 2015, Reliance Communications entered into an agreement to acquire MTS India."
358,Reliance Industries,3.5,http://jobbuzz.timesjobs.com/ndata_images/logos/000737.gif,N,Reliance Industries Ltd,http://www.ril.com/,3.4,3.5,3.4,3.5, Other Industry,1966, Mukesh Ambani, 10000+, Mumbai, 10001+, Essar oil limited,"Reliance Industries Limited (RIL) is an Indian conglomerate holding company headquartered in Mumbai, Maharashtra, India. Reliance owns businesses across India engaged in energy, petrochemicals, textiles, natural resources, retail and telecommunications. Reliance is the most profitable company in India,   the second-largest publicly traded company in India by market capitalization  and the second largest company in India as measured by revenue after the government-controlled Indian Oil Corporation.  The company is ranked 114th on the Fortune Global 500 list of the world's biggest corporations, as of 2014.  RIL contributes approximately 20% of India's total exports. "
359,Reliance Infrastructure,3.2,http://jobbuzz.timesjobs.com/ndata_images/logos/001487.gif,N,Reliance Infrastructure Ltd,http://www.rinfra.com/,3.4,3.2,3.1,3," Construction, Interiors & Real Estate Services",2002, Shri Anil D. Ambani, 10000+, Mumbai, 5001 - 10000,-,"Reliance Infrastructure Ltd., is India's largest private sector enterprise power utility and construction company.  It is part of the Reliance Anil Dhirubhai Ambani Group. The company is headed by Anil Ambani. The corporate headquarters is in Mumbai.  Reliance Infrastructure interests in Metro Rail, Airports, Bridges, Toll roads, Defence. It is major share holder in another group company Reliance Power"
360,Reliance Power,3.3,http://jobbuzz.timesjobs.com/ndata_images/logos/001492.jpg,N,Reliance Power Ltd,http://www.reliancepower.co.in/home.htm,3.3,3.4,3.3,3.4," Infrastructure Development (Airports, Ports, SEZs, Roads, Rail Etc)",2007, Anil Ambani, 1000 - 2500," Navi Mumbai, Maharashtra", 501 - 1000,-,"Reliance Power Limited is part of the Reliance Anil Dhirubhai Ambani Group. It was established to develop, construct and operate power projects in the Indian and international markets. Reliance Energy Limited, an Indian private sector power utility company and the Anil Dhirubhai Ambani Group promote Reliance Power.The company is the sole distributor of electricity to consumers in the suburbs of Mumbai. It also runs power generation, transmission and distribution businesses in other parts of Maharashtra, Goa and Andhra Pradesh.With its subsidiaries, it is developing 13 medium and large-sized power projects with a combined planned installed capacity of 33,480 MW."
361,Renault,3.5,http://jobbuzz.timesjobs.com/ndata_images/logos/003058.gif,N,Renault India Pvt Ltd,http://www.renault.co.in,3.6,3.9,3.3,3.1, Transportation Equipment,-,-, 100 - 500,-, 1001 - 5000,-,"Coordinates: 48.831455°N 2.228273°EGroupe Renault (French:  ) is a French multinational automobile manufacturer established in 1899. The company produces a range of cars and vans, and in the past has manufactured trucks, tractors, tanks, buses/coaches and autorail vehicles.According to the Organisation Internationale des Constructeurs d'Automobiles, in 2013 Renault was the eleventh biggest automaker in the world by production volume,  with 50.5% of sales coming outside of Europe.  The Renault–Nissan Alliance is the fourth-largest automotive group. "
362,Robert Bosch,3.1,http://jobbuzz.timesjobs.com/ndata_images/logos/001516.gif,N,Robert BOSCH Engineering and Business Solutions Ltd,http://www.boschindia.com/content/language1/html/index.htm,3.5,2.5,3.1,3.2, Heavy Machinery/Capital Goods & Industrial Supplies,-,-, 1000 - 2500,-, 5001 - 10000," Hewlett Packard Development Company L.P. , Wipro Technologies Ltd , IBM India Pvt Ltd , Infosys Technologies Ltd , Tata Consultancy Services Ltd","Robert Bosch (23 September 1861 – 12 March 1942) was a German industrialist, engineer and inventor, founder of Robert Bosch GmbH.Bosch was born in Ahlbeck, a village to the northeast of Ulm in southern Germany. He was the eleventh of twelve children. His parents came from a class of well-situated farmers from the region. His father, a freemason, was unusually well-educated for someone of his class, and placed special importance on a good education for his children. As a child, Robert liked to try and invent, he would fuss with little electric or mechanical toys and make something different out of them. He saw potential for himself to become an inventor and later studied quantum mechanics.From 1869 to 1876, Bosch attended the Realschule (secondary-technical school) in Ulm, and then took an apprenticeship as a precision mechanic."
363,Rose International,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/005558.gif,N,Rose International Pvt Ltd,http://www.roseint.com,0,0,0,0," Technology (IT, Telecom, Dot Com Etc)",-,-, 1000 - 2500,-, 201 - 500,-,0
364,Royal Bank of Scotland,3.6,http://jobbuzz.timesjobs.com/ndata_images/logos/000151.gif,Y,Royal Bank of Scotland,http://www.rbs.com/home.ashx,3.7,3.4,3.6,3.5," Banking, Financial Services & Insurance",1727, Ross McEwan, 10000+, United States, 10001+,-,"The Royal Bank of Scotland plc (Scottish Gaelic: Banca Rìoghail na h-Alba, Scots: Ryal Baunk o Scotland, Welsh: Banc Brenhinol yr Alban)  is one of the retail banking subsidiaries of The Royal Bank of Scotland Group plc, and together with NatWest and Ulster Bank, provides banking facilities throughout the UK and Ireland. The Royal Bank of Scotland has around 700 branches, mainly in Scotland though there are branches in many larger towns and cities throughout England and Wales. The Royal Bank of Scotland and its parent, The Royal Bank of Scotland Group, are completely separate from the fellow Edinburgh based bank, the Bank of Scotland, which pre-dates The Royal Bank of Scotland by 32 years. The Bank of Scotland was effective in raising funds for the Jacobite Rebellion and as a result, The Royal Bank of Scotland was established to provide a bank with strong Hanoverian and Whig ties. "
365,Rolta India Ltd,3.2,http://jobbuzz.timesjobs.com/ndata_images/logos/001521.png,Y,Rolta India Ltd,http://www.rolta.com/,3.4,3.1,3,3.1," Technology (IT, Telecom, Dot Com Etc)",1982, Kamal K. Singh, 1000 - 2500, Mumbai, 1001 - 5000," Mastek Ltd , Hexaware Technologies Ltd , Geometric Ltd , RMSI Pvt Ltd , Tata Consultancy Services Ltd","Rolta is an Indian company for CAD, CAM, business intelligence and big data solutions, geographic information system (GIS) solutions, EBusiness and related services    headquartered in Mumbai.The company was established in 1989.  It employs around 5000 workers in India and international subsidiaries. It is ranked No. 12 in IT companies and overall ranked No. 365 in India in Fortune India 500 list in 2011. The company's subsidiaries include Rolta International Inc. (RUS), Rolta Middle East FZ Llc UAE (RME), Rolta Saudi Arabia Limited (RSA), Rolta UK Limited (RUK) and Rolta Thales Limited (RTL) while the company owns a 50% stake in Shaw Rolta Limited as of 30 June 2009, and acquired OneGIS, Inc. in April 2010.  Rolta is also in partnership with Intergraph to market and support its software in India. "
366,Ruchi Soya Industries Limited,3.3,http://jobbuzz.timesjobs.com/ndata_images/logos/001530.gif,N,Ruchi Soya Industries Ltd,http://www.ruchisoya.com/,3.4,3.2,3.5,3.3, Consumer Goods - FMCG,1986,-, 10000+," Mumbai, Maharashtra", 1001 - 5000,-,0
367,Saba Software,3.6,http://jobbuzz.timesjobs.com/ndata_images/logos/004325.gif,N,Saba Software India Pvt Ltd,http://www.saba.com,3,4,4,3.5," Technology (IT, Telecom, Dot Com Etc)",-,-, 1 - 100,-, 501 - 1000,-,0
368,SafeNet,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/004282.gif,N,Safenet Infotech Pvt Ltd,http://www.safenet-inc.com,0,0,0,0," Technology (IT, Telecom, Dot Com Etc)",-,-, 1000 - 2500,-, 1001 - 5000,-,"SafeNet, Inc. was an information security company based in Belcamp, Maryland, United States. The company is now the fifth largest vendor in the security market and third largest provider of information security solutions in the world with revenues ~$500M. On 8 August 2014, Gemalto announced that it had signed a definitive agreement to acquire 100% of the share capital of SafeNet from Vector Capital for US$890 million on a debt free/cash free basis.  It was notably one of the largest suppliers of encryption technology to the United States Government. Now part of Gemalto and marketed under the SafeNet product brand, offerings include enterprise authentication, data encryption, key management and software monetization."
369,SAP,3.4,http://jobbuzz.timesjobs.com/ndata_images/logos/000778.gif,N,Sapient Corporation Pvt Ltd,http://www.sapient.com/,2.9,3.7,3.7,3.5, Consultancy Services,1990, Alan Wexler, 2500 - 5000, Bengaluru, 5001 - 10000, PricewaterhouseCoopers International Ltd,0
